,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
4025,0.329,0.713,11,-6.484,0,0.0397,0.17,0.0,0.508,0.45,138.563,audio_features,4E3U39bAmc61R0hZu2xciI,spotify:track:4E3U39bAmc61R0hZu2xciI,https://api.spotify.com/v1/tracks/4E3U39bAmc61R0hZu2xciI,https://api.spotify.com/v1/audio-analysis/4E3U39bAmc61R0hZu2xciI,122979,4
4026,0.818,0.418,4,-9.336,0,0.2,0.0321,1.56e-05,0.0736,0.609,148.588,audio_features,2KnpVIbSPdfFt1AKVPJ6nW,spotify:track:2KnpVIbSPdfFt1AKVPJ6nW,https://api.spotify.com/v1/tracks/2KnpVIbSPdfFt1AKVPJ6nW,https://api.spotify.com/v1/audio-analysis/2KnpVIbSPdfFt1AKVPJ6nW,216280,4
4027,0.329,0.244,6,-14.021,0,0.04,0.888,3.42e-05,0.13,0.083,162.083,audio_features,6ilx2yGLSPgA89R71VgOgY,spotify:track:6ilx2yGLSPgA89R71VgOgY,https://api.spotify.com/v1/tracks/6ilx2yGLSPgA89R71VgOgY,https://api.spotify.com/v1/audio-analysis/6ilx2yGLSPgA89R71VgOgY,151453,4
4028,0.629,0.191,0,-10.949,1,0.0302,0.934,3.13e-05,0.11,0.232,71.964,audio_features,1r8gFL6v8mkD8CmwIQu2Lk,spotify:track:1r8gFL6v8mkD8CmwIQu2Lk,https://api.spotify.com/v1/tracks/1r8gFL6v8mkD8CmwIQu2Lk,https://api.spotify.com/v1/audio-analysis/1r8gFL6v8mkD8CmwIQu2Lk,158973,4
4029,0.27,0.535,9,-8.673,0,0.0329,0.0679,0.00225,0.143,0.336,194.625,audio_features,2VyOpoblI3AHO6R8dr87Ia,spotify:track:2VyOpoblI3AHO6R8dr87Ia,https://api.spotify.com/v1/tracks/2VyOpoblI3AHO6R8dr87Ia,https://api.spotify.com/v1/audio-analysis/2VyOpoblI3AHO6R8dr87Ia,218373,3
4030,0.601,0.789,4,-8.73,1,0.0611,0.000596,0.104,0.248,0.923,156.459,audio_features,02RkunUrCBLE5J6jY56QH3,spotify:track:02RkunUrCBLE5J6jY56QH3,https://api.spotify.com/v1/tracks/02RkunUrCBLE5J6jY56QH3,https://api.spotify.com/v1/audio-analysis/02RkunUrCBLE5J6jY56QH3,353667,4
4031,0.664,0.613,0,-7.56,1,0.0273,0.00309,0.000128,0.175,0.193,96.6,audio_features,1GjbTNFImFrjFsNdleDe78,spotify:track:1GjbTNFImFrjFsNdleDe78,https://api.spotify.com/v1/tracks/1GjbTNFImFrjFsNdleDe78,https://api.spotify.com/v1/audio-analysis/1GjbTNFImFrjFsNdleDe78,184587,3
4032,0.826,0.694,7,-7.862,1,0.0315,0.316,0.0285,0.074,0.852,123.932,audio_features,4T6FWA703h6H7zk1FoSARw,spotify:track:4T6FWA703h6H7zk1FoSARw,https://api.spotify.com/v1/tracks/4T6FWA703h6H7zk1FoSARw,https://api.spotify.com/v1/audio-analysis/4T6FWA703h6H7zk1FoSARw,217427,4
4033,0.506,0.59,1,-4.322,1,0.076,0.165,1.09e-05,0.096,0.359,141.099,audio_features,4cAgkb0ifwn0FSHGXnr4F6,spotify:track:4cAgkb0ifwn0FSHGXnr4F6,https://api.spotify.com/v1/tracks/4cAgkb0ifwn0FSHGXnr4F6,https://api.spotify.com/v1/audio-analysis/4cAgkb0ifwn0FSHGXnr4F6,256093,4
4034,0.585,0.909,8,-6.474,1,0.0707,0.0891,9.7e-05,0.119,0.758,93.372,audio_features,3CA9pLiwRIGtUBiMjbZmRw,spotify:track:3CA9pLiwRIGtUBiMjbZmRw,https://api.spotify.com/v1/tracks/3CA9pLiwRIGtUBiMjbZmRw,https://api.spotify.com/v1/audio-analysis/3CA9pLiwRIGtUBiMjbZmRw,210747,4
4035,0.501,0.858,0,-4.34,0,0.0342,0.0126,0.0,0.294,0.599,169.946,audio_features,2HtSqfsa6fCxCFBGKBWILM,spotify:track:2HtSqfsa6fCxCFBGKBWILM,https://api.spotify.com/v1/tracks/2HtSqfsa6fCxCFBGKBWILM,https://api.spotify.com/v1/audio-analysis/2HtSqfsa6fCxCFBGKBWILM,215888,4
4036,0.569,0.291,0,-14.509,1,0.043,0.744,0.0,0.137,0.313,151.659,audio_features,5UVWG0RujcoX2PTn5zrrVg,spotify:track:5UVWG0RujcoX2PTn5zrrVg,https://api.spotify.com/v1/tracks/5UVWG0RujcoX2PTn5zrrVg,https://api.spotify.com/v1/audio-analysis/5UVWG0RujcoX2PTn5zrrVg,197480,4
4037,0.654,0.75,8,-7.509,0,0.105,0.244,0.0178,0.167,0.557,92.773,audio_features,7r6PigmGzlB3YPB7wvBBbi,spotify:track:7r6PigmGzlB3YPB7wvBBbi,https://api.spotify.com/v1/tracks/7r6PigmGzlB3YPB7wvBBbi,https://api.spotify.com/v1/audio-analysis/7r6PigmGzlB3YPB7wvBBbi,272507,4
4038,0.574,0.666,2,-7.875,0,0.0641,0.303,1.32e-05,0.0582,0.188,135.21,audio_features,2WOxDSMVbPy8rsK9oMtWuj,spotify:track:2WOxDSMVbPy8rsK9oMtWuj,https://api.spotify.com/v1/tracks/2WOxDSMVbPy8rsK9oMtWuj,https://api.spotify.com/v1/audio-analysis/2WOxDSMVbPy8rsK9oMtWuj,288427,4
4039,0.573,0.929,11,-5.996,1,0.082,0.00218,0.0723,0.718,0.284,97.57,audio_features,1TEZWG1FdjzDdercCguTwj,spotify:track:1TEZWG1FdjzDdercCguTwj,https://api.spotify.com/v1/tracks/1TEZWG1FdjzDdercCguTwj,https://api.spotify.com/v1/audio-analysis/1TEZWG1FdjzDdercCguTwj,289560,4
4040,0.62,0.199,10,-13.788,1,0.0344,0.976,0.00178,0.107,0.179,129.01,audio_features,3D1VUmjj0IlhdHqGConc7C,spotify:track:3D1VUmjj0IlhdHqGConc7C,https://api.spotify.com/v1/tracks/3D1VUmjj0IlhdHqGConc7C,https://api.spotify.com/v1/audio-analysis/3D1VUmjj0IlhdHqGConc7C,218160,4
4041,0.38,0.219,4,-13.273,0,0.0358,0.917,0.0104,0.0827,0.0517,73.537,audio_features,73SpzrcaHk0RQPFP73vqVR,spotify:track:73SpzrcaHk0RQPFP73vqVR,https://api.spotify.com/v1/tracks/73SpzrcaHk0RQPFP73vqVR,https://api.spotify.com/v1/audio-analysis/73SpzrcaHk0RQPFP73vqVR,242265,4
4042,0.547,0.759,1,-7.039,0,0.413,0.354,2.15e-05,0.676,0.575,91.85,audio_features,4XDpeWqPADoWRKcUY3dC84,spotify:track:4XDpeWqPADoWRKcUY3dC84,https://api.spotify.com/v1/tracks/4XDpeWqPADoWRKcUY3dC84,https://api.spotify.com/v1/audio-analysis/4XDpeWqPADoWRKcUY3dC84,225347,4
4043,0.365,0.943,11,-5.274,0,0.474,0.219,0.0,0.39,0.456,177.919,audio_features,4gKy4mu2gkMEUyXD5peMIr,spotify:track:4gKy4mu2gkMEUyXD5peMIr,https://api.spotify.com/v1/tracks/4gKy4mu2gkMEUyXD5peMIr,https://api.spotify.com/v1/audio-analysis/4gKy4mu2gkMEUyXD5peMIr,237920,4
4044,0.58,0.622,5,-12.005,1,0.0352,0.0192,0.653,0.648,0.781,169.442,audio_features,53PkA8aXiwH4ppa0V0iO7o,spotify:track:53PkA8aXiwH4ppa0V0iO7o,https://api.spotify.com/v1/tracks/53PkA8aXiwH4ppa0V0iO7o,https://api.spotify.com/v1/audio-analysis/53PkA8aXiwH4ppa0V0iO7o,349693,4
4045,0.437,0.27,10,-9.212,1,0.0331,0.604,0.0,0.117,0.304,141.25,audio_features,53JLmQSHds9iwskQlXPkOD,spotify:track:53JLmQSHds9iwskQlXPkOD,https://api.spotify.com/v1/tracks/53JLmQSHds9iwskQlXPkOD,https://api.spotify.com/v1/audio-analysis/53JLmQSHds9iwskQlXPkOD,320321,3
4046,0.495,0.269,9,-14.086,1,0.028,0.792,3.91e-06,0.307,0.232,77.685,audio_features,371pwLFOPkgWAgN4RkVcP4,spotify:track:371pwLFOPkgWAgN4RkVcP4,https://api.spotify.com/v1/tracks/371pwLFOPkgWAgN4RkVcP4,https://api.spotify.com/v1/audio-analysis/371pwLFOPkgWAgN4RkVcP4,291560,4
4047,0.783,0.608,0,-5.742,0,0.361,0.0574,0.0,0.102,0.429,91.672,audio_features,6MMuI4k4Vs5ghtDH5i2hBg,spotify:track:6MMuI4k4Vs5ghtDH5i2hBg,https://api.spotify.com/v1/tracks/6MMuI4k4Vs5ghtDH5i2hBg,https://api.spotify.com/v1/audio-analysis/6MMuI4k4Vs5ghtDH5i2hBg,268667,4
4048,0.568,0.495,1,-8.964,1,0.0299,0.353,0.0,0.0839,0.303,128.234,audio_features,7ySbfLwdCwl1EM0zNCJZ38,spotify:track:7ySbfLwdCwl1EM0zNCJZ38,https://api.spotify.com/v1/tracks/7ySbfLwdCwl1EM0zNCJZ38,https://api.spotify.com/v1/audio-analysis/7ySbfLwdCwl1EM0zNCJZ38,281067,4
4049,0.452,0.563,4,-6.607,1,0.0272,0.144,0.0,0.143,0.209,137.715,audio_features,3ZHfX6kbiY7JVsB63lLOLu,spotify:track:3ZHfX6kbiY7JVsB63lLOLu,https://api.spotify.com/v1/tracks/3ZHfX6kbiY7JVsB63lLOLu,https://api.spotify.com/v1/audio-analysis/3ZHfX6kbiY7JVsB63lLOLu,267653,3
4050,0.732,0.243,0,-6.023,1,0.0435,0.939,0.0,0.111,0.106,102.087,audio_features,0j35X8cTq543QDYLOyqB8W,spotify:track:0j35X8cTq543QDYLOyqB8W,https://api.spotify.com/v1/tracks/0j35X8cTq543QDYLOyqB8W,https://api.spotify.com/v1/audio-analysis/0j35X8cTq543QDYLOyqB8W,280227,4
4051,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,audio_features,64BbK9SFKH2jk86U3dGj2P,spotify:track:64BbK9SFKH2jk86U3dGj2P,https://api.spotify.com/v1/tracks/64BbK9SFKH2jk86U3dGj2P,https://api.spotify.com/v1/audio-analysis/64BbK9SFKH2jk86U3dGj2P,255373,4
4052,0.682,0.894,0,-1.73,0,0.0727,0.0381,0.0,0.416,0.845,95.992,audio_features,5p0KCAuu5nrHpTuAIhHdLw,spotify:track:5p0KCAuu5nrHpTuAIhHdLw,https://api.spotify.com/v1/tracks/5p0KCAuu5nrHpTuAIhHdLw,https://api.spotify.com/v1/audio-analysis/5p0KCAuu5nrHpTuAIhHdLw,198600,4
4053,0.345,0.193,6,-10.236,0,0.0328,0.74,4.2e-06,0.117,0.268,77.547,audio_features,3zesxb7sOGbeSwUrzLUP0f,spotify:track:3zesxb7sOGbeSwUrzLUP0f,https://api.spotify.com/v1/tracks/3zesxb7sOGbeSwUrzLUP0f,https://api.spotify.com/v1/audio-analysis/3zesxb7sOGbeSwUrzLUP0f,187157,4
4054,0.637,0.107,5,-18.759,1,0.0349,0.911,0.00146,0.103,0.296,82.879,audio_features,11VwZwNF29HrqwalYUMitb,spotify:track:11VwZwNF29HrqwalYUMitb,https://api.spotify.com/v1/tracks/11VwZwNF29HrqwalYUMitb,https://api.spotify.com/v1/audio-analysis/11VwZwNF29HrqwalYUMitb,339533,4
4055,0.647,0.272,5,-12.906,1,0.0916,0.918,1.73e-05,0.0918,0.339,150.044,audio_features,7MbT4I8qGntX4fMdqMQgke,spotify:track:7MbT4I8qGntX4fMdqMQgke,https://api.spotify.com/v1/tracks/7MbT4I8qGntX4fMdqMQgke,https://api.spotify.com/v1/audio-analysis/7MbT4I8qGntX4fMdqMQgke,234000,4
4056,0.646,0.682,7,-5.847,1,0.0759,0.683,4.84e-06,0.107,0.421,131.895,audio_features,5JRMqkR82k2fdDEAim9SCN,spotify:track:5JRMqkR82k2fdDEAim9SCN,https://api.spotify.com/v1/tracks/5JRMqkR82k2fdDEAim9SCN,https://api.spotify.com/v1/audio-analysis/5JRMqkR82k2fdDEAim9SCN,176732,4
4057,0.238,0.466,9,-8.291,1,0.038,0.637,0.0,0.106,0.173,176.339,audio_features,1FItGQwV0b8kdJA1r5vrmS,spotify:track:1FItGQwV0b8kdJA1r5vrmS,https://api.spotify.com/v1/tracks/1FItGQwV0b8kdJA1r5vrmS,https://api.spotify.com/v1/audio-analysis/1FItGQwV0b8kdJA1r5vrmS,203302,3
4058,0.635,0.795,7,-5.313,1,0.0269,0.0514,3.08e-06,0.0751,0.628,115.23,audio_features,5JKQMoGmXwDHCodn5pFVHB,spotify:track:5JKQMoGmXwDHCodn5pFVHB,https://api.spotify.com/v1/tracks/5JKQMoGmXwDHCodn5pFVHB,https://api.spotify.com/v1/audio-analysis/5JKQMoGmXwDHCodn5pFVHB,283667,4
4059,0.415,0.53,9,-9.338,0,0.0314,0.00209,0.75,0.11,0.0586,114.174,audio_features,03sEzk1VyrUZSgyhoQR0LZ,spotify:track:03sEzk1VyrUZSgyhoQR0LZ,https://api.spotify.com/v1/tracks/03sEzk1VyrUZSgyhoQR0LZ,https://api.spotify.com/v1/audio-analysis/03sEzk1VyrUZSgyhoQR0LZ,713192,1
4060,0.512,0.364,6,-8.31,0,0.0935,0.664,0.0,0.672,0.11,132.426,audio_features,2eel5Us5RHsvtBNPnFT5E1,spotify:track:2eel5Us5RHsvtBNPnFT5E1,https://api.spotify.com/v1/tracks/2eel5Us5RHsvtBNPnFT5E1,https://api.spotify.com/v1/audio-analysis/2eel5Us5RHsvtBNPnFT5E1,92453,4
4061,0.401,0.499,0,-7.643,1,0.0272,0.217,0.0,0.149,0.262,144.276,audio_features,4FqfHVML025cwjfhAOFbfa,spotify:track:4FqfHVML025cwjfhAOFbfa,https://api.spotify.com/v1/tracks/4FqfHVML025cwjfhAOFbfa,https://api.spotify.com/v1/audio-analysis/4FqfHVML025cwjfhAOFbfa,184080,4
4062,0.538,0.612,2,-6.02,1,0.424,0.308,0.0,0.213,0.684,168.197,audio_features,1jzIJcHCXneHw7ojC6LXiF,spotify:track:1jzIJcHCXneHw7ojC6LXiF,https://api.spotify.com/v1/tracks/1jzIJcHCXneHw7ojC6LXiF,https://api.spotify.com/v1/audio-analysis/1jzIJcHCXneHw7ojC6LXiF,182493,4
4063,0.421,0.433,2,-8.985,1,0.0315,0.711,0.0,0.341,0.351,169.866,audio_features,2fnTzCoQzHYJmcz9M84W1g,spotify:track:2fnTzCoQzHYJmcz9M84W1g,https://api.spotify.com/v1/tracks/2fnTzCoQzHYJmcz9M84W1g,https://api.spotify.com/v1/audio-analysis/2fnTzCoQzHYJmcz9M84W1g,205412,4
4064,0.746,0.895,5,-5.381,1,0.0658,0.102,0.000242,0.0594,0.753,115.693,audio_features,4LxNjTEnb4uh1gUg1Y5Ycp,spotify:track:4LxNjTEnb4uh1gUg1Y5Ycp,https://api.spotify.com/v1/tracks/4LxNjTEnb4uh1gUg1Y5Ycp,https://api.spotify.com/v1/audio-analysis/4LxNjTEnb4uh1gUg1Y5Ycp,225840,4
